Candidate_ID,Name,Email,Phone,DOB,Verification_Status,Turnaround_Time_Days,Employment_Check,Education_Check,Criminal_Record_Check,Document_Issues_Flag,Report_Generated,Inconsistent_Flag
CID1000,Edward Chambers,ayalaleslie@ortiz-pittman.com,031-474-7397x95900,1982-06-22 00:00:00,Discrepancy,22,Fail,Fail,Pending,0,2025-05-26 00:00:00,1
CID1001,Sarah Garcia,matthewsmith@gmail.com,9087742517,2003-01-30 00:00:00,In Progress,17,Fail,Fail,Clear,0,2025-06-13 00:00:00,1
CID1002,Nathan Nelson,amywolfe@hotmail.com,(019)872-7232,1997-02-08 00:00:00,Pending,9,Pending,Pending,Record Found,0,2025-07-12 00:00:00,0
CID1003,Eric Sanders,angela73@mcintosh.biz,874-845-0298,1991-07-16 00:00:00,Discrepancy,1,Pending,Fail,Record Found,0,2025-05-15 00:00:00,1
CID1004,Natalie Dawson,melissa37@yahoo.com,853-860-9568x613,2001-05-17 00:00:00,Discrepancy,21,Pass,Pass,Pending,0,2025-05-28 00:00:00,0
CID1005,Cynthia Mcdaniel,michael05@hotmail.com,001-057-921-3226x0374,1979-10-27 00:00:00,In Progress,20,Pass,Pending,Pending,0,2025-07-08 00:00:00,0
CID1006,James Reeves,claudia67@hotmail.com,001-657-999-3123x8225,1979-12-11 00:00:00,Pending,13,Fail,Pending,Pending,1,2025-05-09 00:00:00,1
CID1007,Hayden Smith,tinamclean@hotmail.com,1761023123,1991-01-19 00:00:00,Pending,28,Pending,Pass,Pending,0,2025-05-05 00:00:00,0
CID1008,Kelly Murphy,raymondramirez@bond.com,926.745.6236,2001-12-04 00:00:00,Discrepancy,16,Pending,Pending,Pending,0,2025-06-26 00:00:00,0
CID1009,Kayla Christensen,davidhess@reid.com,(758)725-8948,1981-08-30 00:00:00,Verified,29,Pending,Pending,Record Found,0,2025-07-13 00:00:00,0
CID1010,Angelica Ramirez,hannahfields@gmail.com,001-446-398-4120x57612,1997-06-09 00:00:00,Discrepancy,13,Fail,Pass,Pending,0,2025-05-16 00:00:00,1
CID1011,Jeffrey Wood,uhunter@yahoo.com,578.092.5410x712,1987-06-19 00:00:00,Discrepancy,14,Pass,Pending,Clear,0,2025-05-01 00:00:00,0
CID1012,Emily Friedman,wisemichael@gmail.com,6677036216,2000-07-31 00:00:00,Discrepancy,3,Fail,Pass,Clear,0,2025-06-30 00:00:00,1
CID1013,Laura Gilbert,michaelmiller@hotmail.com,6322095762,2003-01-04 00:00:00,Discrepancy,29,Pass,Pass,Record Found,0,2025-07-13 00:00:00,0
CID1014,Erin Mcdowell,meredithhall@gmail.com,688-096-4446,1990-09-07 00:00:00,In Progress,6,Pass,Fail,Clear,0,2025-07-02 00:00:00,1
CID1015,Francisco Ward MD,jacob67@padilla.biz,+1-134-949-6797x533,1981-06-06 00:00:00,Pending,18,Fail,Fail,Record Found,1,2025-07-06 00:00:00,1
CID1016,Emily Knight,ashleyherring@gmail.com,7699058802,1989-09-25 00:00:00,In Progress,19,Pass,Pending,Record Found,0,2025-05-04 00:00:00,0
CID1017,Nicholas Mccarthy,hughesmatthew@yahoo.com,183.999.3757,1997-04-11 00:00:00,In Progress,5,Pass,Pending,Clear,0,2025-05-26 00:00:00,0
CID1018,Nathan Roberts,mariah85@wilson.com,306.870.9079x2920,1987-01-15 00:00:00,In Progress,15,Pending,Pass,Pending,1,2025-06-15 00:00:00,0
CID1019,Jonathan Pratt,pcummings@yahoo.com,001-834-881-1381x2833,1990-05-20 00:00:00,Discrepancy,25,Pass,Pending,Clear,0,2025-07-06 00:00:00,0
CID1020,Larry Miller,bbarnes@hotmail.com,001-461-551-5610,1992-05-01 00:00:00,Verified,2,Fail,Pass,Clear,0,2025-05-14 00:00:00,1
CID1021,Linda Gardner,kristimoore@thompson.org,(271)937-6707,1991-12-03 00:00:00,Pending,10,Fail,Pass,Record Found,0,2025-05-29 00:00:00,1
CID1022,Ryan Poole,bmcintyre@yahoo.com,5378134077,1985-05-20 00:00:00,Verified,24,Pass,Pending,Clear,0,2025-05-18 00:00:00,0
CID1023,Steven Myers,noblejeffrey@jordan-cisneros.net,711-227-2190x587,1990-08-22 00:00:00,In Progress,18,Pending,Pass,Record Found,0,2025-05-05 00:00:00,0
CID1024,Brandon Pope,traceybradshaw@hotmail.com,(641)712-5403x3552,1991-08-27 00:00:00,In Progress,27,Pending,Fail,Pending,0,2025-06-05 00:00:00,1
CID1025,Katie Rosales,douglaskayla@wall.com,+1-040-217-8528x935,1987-08-02 00:00:00,Verified,13,Pass,Pending,Pending,0,2025-07-14 00:00:00,0
CID1026,Robert Mendoza,halvarado@hotmail.com,1583149067,2002-07-07 00:00:00,Verified,5,Pass,Fail,Pending,0,2025-06-25 00:00:00,1
CID1027,Heather Moyer,mitchellcole@palmer-koch.net,3821137164,1987-07-18 00:00:00,Verified,23,Fail,Pending,Clear,0,2025-07-01 00:00:00,1
CID1028,Ian Lyons,cantusteven@james-walker.com,1678245456,1984-10-23 00:00:00,In Progress,24,Pass,Pass,Record Found,0,2025-07-01 00:00:00,0
CID1029,Anita Orr,srobles@kaiser-serrano.com,707-068-1162,1999-08-14 00:00:00,In Progress,1,Pending,Pending,Pending,0,2025-07-15 00:00:00,0
CID1030,Veronica Hall,denglish@yahoo.com,+1-161-314-6560x334,2002-07-22 00:00:00,Pending,22,Pass,Fail,Record Found,1,2025-06-13 00:00:00,1
CID1031,Peter Meyer,ebush@callahan.com,792-261-9336,1984-08-26 00:00:00,Pending,1,Fail,Pass,Record Found,0,2025-06-17 00:00:00,1
CID1032,Ryan Meyer,samuelgibbs@gonzalez-brown.com,8243240517,1986-06-02 00:00:00,In Progress,18,Fail,Pending,Pending,0,2025-07-12 00:00:00,1
CID1033,Matthew Cruz,william33@diaz.com,995.033.4616,1981-06-23 00:00:00,Verified,15,Fail,Pending,Pending,0,2025-06-17 00:00:00,1
CID1034,David Powell,sjohnson@richards.com,+1-293-443-5943x736,2001-02-26 00:00:00,Verified,17,Fail,Pending,Record Found,0,2025-07-12 00:00:00,1
CID1035,Lisa Rogers,jsantos@hotmail.com,+1-172-347-8618x3047,1987-05-15 00:00:00,Pending,11,Fail,Fail,Pending,1,2025-04-27 00:00:00,1
CID1036,William Donovan,twilkins@morgan-carlson.com,001-001-761-7666x75370,1993-10-20 00:00:00,In Progress,21,Pass,Fail,Record Found,0,2025-06-14 00:00:00,1
CID1037,Sean Coleman,frank49@anderson.info,(900)112-2122x228,1982-04-30 00:00:00,Pending,26,Pass,Pending,Record Found,0,2025-06-01 00:00:00,0
CID1038,Theresa Cardenas,elizabethwalker@nguyen.biz,+1-008-434-1082x1317,1986-08-20 00:00:00,Pending,25,Pass,Pass,Pending,0,2025-06-03 00:00:00,0
CID1039,Dawn Smith,donald63@hotmail.com,994.976.1799x810,1983-02-14 00:00:00,Discrepancy,22,Pass,Pass,Clear,0,2025-04-21 00:00:00,0
CID1040,Trevor Rodriguez,rodriguezzoe@clark.info,411.861.8380x235,2002-04-22 00:00:00,Discrepancy,27,Fail,Fail,Pending,0,2025-05-16 00:00:00,1
CID1041,Wendy Bass,marcvelasquez@lawson.biz,+1-958-842-2650x515,1984-05-26 00:00:00,Discrepancy,27,Pending,Pass,Clear,1,2025-04-28 00:00:00,0
CID1042,John Williams,kimberly23@joseph.biz,434-734-1817x1802,1995-04-27 00:00:00,Verified,17,Pass,Fail,Record Found,0,2025-04-27 00:00:00,1
CID1043,Andrew Padilla,jenniferlawson@taylor.com,(846)881-6707,1990-04-26 00:00:00,In Progress,13,Pending,Pending,Record Found,0,2025-05-22 00:00:00,0
CID1044,Michelle Frey,davidcooper@hotmail.com,001-098-567-2827x82933,2002-11-27 00:00:00,In Progress,1,Pass,Fail,Clear,0,2025-05-17 00:00:00,1
CID1045,Brandon Callahan,clarkekayla@stewart.com,(389)986-9408x59837,2000-08-03 00:00:00,In Progress,2,Pass,Fail,Record Found,0,2025-05-27 00:00:00,1
CID1046,Kelli Taylor,sgrant@santiago.info,+1-016-111-3302x77400,1998-12-09 00:00:00,In Progress,9,Pending,Pending,Clear,0,2025-05-07 00:00:00,0
CID1047,Dennis Cooper,yhale@gmail.com,761.438.8962,1994-10-12 00:00:00,Discrepancy,3,Fail,Pass,Clear,0,2025-06-04 00:00:00,1
CID1048,Darren Watkins,boylegarrett@gmail.com,9900147043,2002-12-14 00:00:00,Verified,1,Pass,Fail,Record Found,0,2025-06-15 00:00:00,1
CID1049,Kristen Young,robertjoyce@hampton-hayes.com,+1-251-941-2861x285,2000-10-08 00:00:00,Verified,21,Pass,Fail,Clear,0,2025-06-06 00:00:00,1
CID1050,Jessica Clarke,zfriedman@morgan-jackson.biz,(073)566-1697,1984-12-29 00:00:00,Discrepancy,16,Pass,Pending,Pending,0,2025-05-11 00:00:00,0
CID1051,Tyler Jackson,richard06@gmail.com,536.987.4197x526,1992-06-18 00:00:00,Verified,23,Pending,Pass,Pending,0,2025-07-14 00:00:00,0
CID1052,Kevin Long,rmcgrath@hotmail.com,115-030-4750x503,1996-11-14 00:00:00,Discrepancy,6,Fail,Fail,Record Found,0,2025-06-08 00:00:00,1
CID1053,Jonathan Weeks,josephking@oneal-barrera.biz,001-928-637-9404x160,1991-12-02 00:00:00,In Progress,28,Pending,Pending,Record Found,0,2025-05-25 00:00:00,0
CID1054,Rose Hale,vangkelly@fuentes.info,581.602.6773x24188,1983-05-04 00:00:00,Discrepancy,17,Pending,Fail,Clear,0,2025-05-01 00:00:00,1
CID1055,Brian Monroe,melody13@anderson.com,520-016-1052x595,2001-01-01 00:00:00,In Progress,5,Fail,Pending,Clear,0,2025-05-09 00:00:00,1
CID1056,Joseph Davis,bowmankaren@ferguson.com,645.583.4344,2003-03-03 00:00:00,In Progress,5,Pending,Pass,Clear,0,2025-07-04 00:00:00,0
CID1057,Timothy Jones,kgood@gmail.com,618-759-3734x80546,1998-04-25 00:00:00,Pending,6,Fail,Pass,Clear,0,2025-06-09 00:00:00,1
CID1058,Mary Summers,brittany90@rivas.com,565-366-9292,1999-05-31 00:00:00,Discrepancy,3,Pass,Pass,Pending,0,2025-05-19 00:00:00,0
CID1059,Nicholas Glover,steve90@cameron.com,(310)608-1184x414,1995-11-10 00:00:00,Pending,21,Fail,Pass,Pending,0,2025-06-17 00:00:00,1
CID1060,Fernando Mitchell,xwhite@perez-acevedo.com,(027)839-4704x5895,1992-08-29 00:00:00,Discrepancy,23,Pass,Fail,Record Found,0,2025-07-09 00:00:00,1
CID1061,Steve Nelson,eddie05@gmail.com,(141)619-4084x04050,1985-08-25 00:00:00,Discrepancy,5,Pending,Fail,Clear,0,2025-07-04 00:00:00,1
CID1062,Christopher Robertson,tammymyers@gmail.com,+1-916-636-4641x8892,1992-01-27 00:00:00,Pending,21,Pending,Pass,Clear,0,2025-05-10 00:00:00,0
CID1063,Jillian Robinson,sreilly@allison.com,+1-441-194-8722x02502,1992-04-23 00:00:00,Pending,5,Pass,Pass,Record Found,0,2025-06-01 00:00:00,0
CID1064,Sherri Vega,jessica36@gmail.com,+1-349-847-9070,1992-09-08 00:00:00,Discrepancy,10,Pending,Pass,Clear,0,2025-06-09 00:00:00,0
CID1065,Margaret Nelson,rosejames@goodwin.com,+1-425-989-4330,1981-03-31 00:00:00,Verified,10,Fail,Fail,Clear,0,2025-07-04 00:00:00,1
CID1066,Randy Ramirez,barbarajohnson@franklin.com,+1-521-657-8822x8461,1998-07-03 00:00:00,In Progress,19,Pass,Pass,Clear,0,2025-04-30 00:00:00,0
CID1067,Scott Armstrong,gtanner@padilla.com,945-647-8692,1984-12-02 00:00:00,Pending,17,Pending,Pass,Clear,1,2025-06-27 00:00:00,0
CID1068,Nicholas Shah,kellyhendrix@collins.com,224.181.7458x68151,1989-08-13 00:00:00,In Progress,21,Pass,Pass,Clear,0,2025-07-08 00:00:00,0
CID1069,Micheal Guzman,manningalexis@gmail.com,(523)206-2790,1999-12-24 00:00:00,Verified,14,Fail,Pending,Record Found,0,2025-07-10 00:00:00,1
CID1070,Russell Rose,christopherrose@gmail.com,(652)689-5781x913,1995-08-26 00:00:00,Verified,9,Fail,Pass,Clear,0,2025-06-11 00:00:00,1
CID1071,Emily Decker,laura01@burke.com,001-839-004-0100,1982-10-30 00:00:00,Verified,14,Pending,Pending,Record Found,1,2025-06-21 00:00:00,0
CID1072,Rodney Massey,patrick46@hotmail.com,+1-741-648-4571x2146,1990-06-29 00:00:00,Pending,1,Fail,Pending,Clear,0,2025-05-22 00:00:00,1
CID1073,Justin Smith,bryan74@yahoo.com,(551)793-2236,1991-09-28 00:00:00,Verified,19,Pass,Pass,Pending,0,2025-06-02 00:00:00,0
CID1074,Heather Martinez,jeremy17@gibson-jenkins.com,703.550.8498x703,1986-09-29 00:00:00,Pending,13,Fail,Pending,Pending,0,2025-06-05 00:00:00,1
CID1075,Jason Gray,david40@howard-hughes.info,+1-214-926-0328,1985-09-01 00:00:00,Verified,13,Pass,Pass,Pending,0,2025-07-13 00:00:00,0
CID1076,Erin Wilson,kirk94@wilson.com,+1-730-312-1026x9030,1992-10-01 00:00:00,In Progress,4,Pass,Fail,Pending,0,2025-07-07 00:00:00,1
CID1077,Brandon Love,garymartin@gmail.com,(687)187-7092x49146,1984-10-18 00:00:00,In Progress,1,Fail,Fail,Record Found,0,2025-07-07 00:00:00,1
CID1078,Samantha Stevens,jennifergutierrez@frazier.biz,596-481-8061x1912,1996-09-29 00:00:00,Discrepancy,17,Pending,Fail,Record Found,0,2025-07-04 00:00:00,1
CID1079,Kimberly Carrillo,whiteheadjennifer@burns.com,(509)471-1796,1999-01-17 00:00:00,In Progress,8,Fail,Fail,Clear,0,2025-06-12 00:00:00,1
CID1080,David Alvarez,donaldjones@gmail.com,1275825670,1992-04-16 00:00:00,Discrepancy,2,Pass,Pending,Pending,1,2025-06-17 00:00:00,0
CID1081,Crystal Fitzpatrick,moodychristine@gmail.com,4924602809,1979-08-22 00:00:00,In Progress,28,Pass,Pass,Record Found,0,2025-05-08 00:00:00,0
CID1082,Olivia Hernandez,michaelarnold@hotmail.com,241-415-9546,1982-12-25 00:00:00,Pending,8,Fail,Pass,Clear,0,2025-05-08 00:00:00,1
CID1083,Terry Gonzalez,kathrynhoward@fernandez.com,(333)105-8412,1980-02-11 00:00:00,In Progress,7,Pending,Pass,Clear,0,2025-07-16 00:00:00,0
CID1084,Jesus Burns DVM,travis50@yahoo.com,874.617.2492,2002-07-13 00:00:00,Discrepancy,26,Pending,Fail,Record Found,0,2025-05-14 00:00:00,1
CID1085,Olivia Johnson,qhill@gmail.com,693-955-5947,1982-10-15 00:00:00,Discrepancy,26,Pass,Fail,Pending,0,2025-06-22 00:00:00,1
CID1086,Lawrence Green,david87@thomas.info,051.247.1477x343,1994-07-03 00:00:00,Verified,2,Pass,Pass,Clear,0,2025-05-31 00:00:00,0
CID1087,Sandy Green,kirkgeorge@rogers-stuart.biz,+1-600-428-4003x792,1998-11-13 00:00:00,Pending,22,Pending,Fail,Pending,0,2025-07-11 00:00:00,1
CID1088,Christian Austin,derrick41@yahoo.com,+1-589-570-3839x701,1996-10-30 00:00:00,In Progress,22,Fail,Pass,Pending,0,2025-06-07 00:00:00,1
CID1089,Danielle Fletcher,thompsonrebecca@fox-ramirez.com,(525)571-6031,1998-11-14 00:00:00,Verified,3,Pass,Pass,Pending,0,2025-06-02 00:00:00,0
CID1090,Larry Potter,shannonyoder@yahoo.com,514.047.5093,1993-05-22 00:00:00,In Progress,27,Pass,Pass,Clear,0,2025-05-06 00:00:00,0
CID1091,Jonathan Brooks,uquinn@anderson.com,(321)294-1494,1983-05-12 00:00:00,In Progress,18,Pending,Pass,Pending,0,2025-06-05 00:00:00,0
CID1092,Brandon Payne,leerobert@nunez.biz,744.149.2920,1994-01-27 00:00:00,Verified,12,Fail,Pass,Clear,0,2025-06-26 00:00:00,1
CID1093,Levi Daniel,sean54@webb.biz,766.059.5891x69588,1993-09-16 00:00:00,Verified,1,Pending,Pass,Pending,0,2025-04-22 00:00:00,0
CID1094,Cole Lindsey,reevesapril@hotmail.com,790-569-9850x5026,1981-03-11 00:00:00,Verified,22,Fail,Pass,Clear,0,2025-07-10 00:00:00,1
CID1095,Steven Burns,ashleypierce@ellis.net,001-340-720-6830x60140,1988-02-23 00:00:00,Verified,12,Fail,Fail,Pending,1,2025-06-13 00:00:00,1
CID1096,Rebecca Park,lindseyweber@miller-frost.org,235.778.8658x577,1987-01-22 00:00:00,Verified,5,Fail,Pass,Record Found,0,2025-05-19 00:00:00,1
CID1097,Matthew Bates,alexander58@hotmail.com,181.078.4655x586,1985-09-30 00:00:00,In Progress,27,Pass,Pass,Pending,0,2025-05-28 00:00:00,0
CID1098,Charles Clark,uwilson@johnson.com,974.778.3429x656,2001-02-09 00:00:00,Verified,25,Pending,Fail,Pending,0,2025-05-20 00:00:00,1
CID1099,Claudia Alvarez,ryan62@gmail.com,354-824-3221,1984-01-10 00:00:00,Pending,17,Pending,Fail,Clear,0,2025-04-23 00:00:00,1
CID1100,Patricia Dawson,faulknerolivia@hotmail.com,001-725-080-6661x877,2001-10-20 00:00:00,Discrepancy,16,Fail,Fail,Clear,0,2025-04-19 00:00:00,1
CID1101,Jerry Nguyen,rachelmartinez@williams-richardson.com,663.500.1604x79829,1983-03-05 00:00:00,Verified,15,Pass,Pass,Pending,0,2025-05-02 00:00:00,0
CID1102,Shannon Harris,elizabeth43@gmail.com,+1-255-259-4380,1997-04-02 00:00:00,Verified,23,Pass,Pending,Record Found,0,2025-05-14 00:00:00,0
CID1103,Lauren Brennan,gregory84@reid.com,001-142-042-3925x55851,1980-10-30 00:00:00,In Progress,15,Pending,Pending,Record Found,0,2025-05-18 00:00:00,0
CID1104,William Salas,kallen@yahoo.com,(206)580-0013x49077,1995-01-10 00:00:00,Verified,5,Pass,Fail,Clear,0,2025-04-29 00:00:00,1
CID1105,Jenna Thornton MD,edward22@trevino.com,+1-119-806-9568x860,1999-06-15 00:00:00,Verified,21,Pass,Pending,Record Found,1,2025-06-23 00:00:00,0
CID1106,Kelsey Carter,megan16@gmail.com,369.383.3968,1999-09-01 00:00:00,Verified,14,Fail,Fail,Pending,0,2025-05-20 00:00:00,1
CID1107,Amy Hammond,rachel43@yahoo.com,001-297-175-1326x3310,1995-02-22 00:00:00,In Progress,2,Pass,Pass,Clear,0,2025-05-05 00:00:00,0
CID1108,Dennis Johnson,tburnett@brooks.org,+1-110-071-0532,1988-10-30 00:00:00,Verified,11,Fail,Pending,Pending,0,2025-06-06 00:00:00,1
CID1109,Elizabeth Ali,jmccullough@jimenez.net,921.836.4881,1982-04-16 00:00:00,Discrepancy,19,Pending,Pass,Clear,0,2025-04-23 00:00:00,0
CID1110,Lisa Hines,bvillegas@steele-hanson.biz,(588)855-0992x2245,1986-11-10 00:00:00,In Progress,7,Pass,Pending,Clear,0,2025-05-13 00:00:00,0
CID1111,Amanda Price,emilywright@taylor.info,907-917-2177,1992-03-03 00:00:00,Discrepancy,6,Pending,Pass,Clear,0,2025-05-14 00:00:00,0
CID1112,Tara Wagner,joeldodson@hotmail.com,913.263.7242,1990-01-10 00:00:00,In Progress,28,Pending,Pending,Clear,0,2025-04-29 00:00:00,0
CID1113,Monica Chang,jason16@hotmail.com,427-535-3390,1985-10-23 00:00:00,Verified,2,Pass,Pass,Record Found,0,2025-06-15 00:00:00,0
CID1114,Mrs. Kelly Mcintyre,brian49@arnold.com,001-877-618-9148,1994-11-30 00:00:00,Discrepancy,6,Pass,Pass,Pending,0,2025-06-30 00:00:00,0
CID1115,Melissa Flores,pjames@hotmail.com,006-763-4889,2000-10-11 00:00:00,In Progress,18,Pending,Pending,Pending,0,2025-06-30 00:00:00,0
CID1116,Hannah Solis,cmiller@jones.org,+1-442-760-5445x5235,1994-09-17 00:00:00,Pending,2,Pass,Pass,Pending,0,2025-06-17 00:00:00,0
CID1117,Taylor Sullivan MD,kenneth27@gonzalez-sullivan.org,530-436-1894x301,1984-06-11 00:00:00,Verified,18,Fail,Pass,Clear,0,2025-05-11 00:00:00,1
